Date,Zipcode,Pollutant,Avg Concentration (ug/m3),Daily Avg AQI,Daily Max AQI,AQI Category
2025-09-22,10010,PM2.5,14.54,52.2,60,Moderate
2025-09-22,10010,PM10,16.33,11.2,15,Good
2025-09-22,10010,Ozone,41.96,19.3,36,Good
2025-09-22,10010,Nitrogen Dioxide,39.15,19.3,26,Good
2025-09-22,10010,Sulphur Dioxide,8.17,4.5,6,Good
2025-09-22,10010,Carbon Monoxide,261.54,2.6,3,Good
2025-09-22,10010,Overall,,52.2,60,Moderate
2025-09-23,10010,PM2.5,13.47,57.1,60,Moderate
2025-09-23,10010,PM10,14.46,13.0,15,Good
2025-09-23,10010,Ozone,73.29,32.8,65,Moderate
2025-09-23,10010,Nitrogen Dioxide,27.52,13.5,28,Good
2025-09-23,10010,Sulphur Dioxide,7.67,4.1,5,Good
2025-09-23,10010,Carbon Monoxide,223.29,2.0,2,Good
2025-09-23,10010,Overall,,57.7,65,Moderate
2025-09-24,10010,PM2.5,22.33,70.5,78,Moderate
2025-09-24,10010,PM10,22.67,18.4,22,Good
2025-09-24,10010,Ozone,46.58,24.7,43,Good
2025-09-24,10010,Nitrogen Dioxide,48.87,24.0,32,Good
2025-09-24,10010,Sulphur Dioxide,11.15,6.0,10,Good
2025-09-24,10010,Carbon Monoxide,321.96,3.2,4,Good
2025-09-24,10010,Overall,,70.5,78,Moderate
2025-09-25,10010,PM2.5,8.4,59.2,75,Moderate
2025-09-25,10010,PM10,8.98,13.3,21,Good
2025-09-25,10010,Ozone,56.25,23.8,32,Good
2025-09-25,10010,Nitrogen Dioxide,23.06,11.4,15,Good
2025-09-25,10010,Sulphur Dioxide,4.6,2.6,4,Good
2025-09-25,10010,Carbon Monoxide,218.71,2.1,3,Good
2025-09-25,10010,Overall,,59.2,75,Moderate
2025-09-26,10010,PM2.5,11.88,52.1,55,Moderate
2025-09-26,10010,PM10,11.95,9.5,10,Good
2025-09-26,10010,Ozone,57.0,29.7,49,Good
2025-09-26,10010,Nitrogen Dioxide,33.08,16.3,38,Good
2025-09-26,10010,Sulphur Dioxide,6.14,3.2,4,Good
2025-09-26,10010,Carbon Monoxide,328.29,2.7,4,Good
2025-09-26,10010,Overall,,52.1,55,Moderate
2025-09-27,10010,PM2.5,17.37,59.9,65,Moderate
2025-09-27,10010,PM10,17.57,13.1,16,Good
2025-09-27,10010,Ozone,40.25,19.6,34,Good
2025-09-27,10010,Nitrogen Dioxide,51.65,25.4,45,Good
2025-09-27,10010,Sulphur Dioxide,8.28,4.5,7,Good
2025-09-27,10010,Carbon Monoxide,345.17,3.4,4,Good
2025-09-27,10010,Overall,,59.9,65,Moderate
2025-09-28,10010,PM2.5,24.81,77.9,83,Moderate
2025-09-28,10010,PM10,25.09,21.9,25,Good
2025-09-28,10010,Ozone,47.83,20.5,49,Good
2025-09-28,10010,Nitrogen Dioxide,59.24,29.2,45,Good
2025-09-28,10010,Sulphur Dioxide,11.97,6.5,9,Good
2025-09-28,10010,Carbon Monoxide,335.88,3.1,4,Good
2025-09-28,10010,Overall,,77.9,83,Moderate
2025-09-29,10010,PM2.5,17.79,65.2,80,Moderate
2025-09-29,10010,PM10,17.9,15.6,23,Good
2025-09-29,10010,Ozone,45.96,23.4,33,Good
2025-09-29,10010,Nitrogen Dioxide,41.58,20.5,47,Good
2025-09-29,10010,Sulphur Dioxide,7.74,4.2,7,Good
2025-09-29,10010,Carbon Monoxide,360.38,3.4,4,Good
2025-09-29,10010,Overall,,65.2,80,Moderate
2025-09-30,10010,PM2.5,22.71,81.4,86,Moderate
2025-09-30,10010,PM10,22.92,23.5,26,Good
2025-09-30,10010,Ozone,42.0,16.8,40,Good
2025-09-30,10010,Nitrogen Dioxide,48.78,24.0,43,Good
2025-09-30,10010,Sulphur Dioxide,7.18,3.9,7,Good
2025-09-30,10010,Carbon Monoxide,394.83,4.1,5,Good
2025-09-30,10010,Overall,,81.4,86,Moderate
2025-10-01,10010,PM2.5,3.77,47.9,76,Moderate
2025-10-01,10010,PM10,3.81,9.5,21,Good
2025-10-01,10010,Ozone,58.75,26.8,35,Good
2025-10-01,10010,Nitrogen Dioxide,16.54,8.1,18,Good
2025-10-01,10010,Sulphur Dioxide,3.57,2.0,3,Good
2025-10-01,10010,Carbon Monoxide,206.5,2.2,3,Good
2025-10-01,10010,Overall,,48.8,76,Moderate
2025-10-02,10010,PM2.5,6.43,25.8,34,Good
2025-10-02,10010,PM10,6.73,4.3,6,Good
2025-10-02,10010,Ozone,42.08,21.6,31,Good
2025-10-02,10010,Nitrogen Dioxide,27.29,13.5,32,Good
2025-10-02,10010,Sulphur Dioxide,5.11,2.8,4,Good
2025-10-02,10010,Carbon Monoxide,229.12,2.0,2,Good
2025-10-02,10010,Overall,,26.5,34,Good
2025-10-03,10010,PM2.5,12.0,49.6,56,Moderate
2025-10-03,10010,PM10,12.73,9.5,12,Good
2025-10-03,10010,Ozone,49.88,20.6,42,Good
2025-10-03,10010,Nitrogen Dioxide,36.35,18.0,29,Good
2025-10-03,10010,Sulphur Dioxide,8.14,4.3,5,Good
2025-10-03,10010,Carbon Monoxide,275.58,2.5,3,Good
2025-10-03,10010,Overall,,49.6,56,Moderate
2025-10-04,10010,PM2.5,13.67,54.8,58,Moderate
2025-10-04,10010,PM10,13.73,10.7,12,Good
2025-10-04,10010,Ozone,66.79,34.4,76,Moderate
2025-10-04,10010,Nitrogen Dioxide,41.88,20.8,52,Moderate
2025-10-04,10010,Sulphur Dioxide,10.94,5.9,8,Good
2025-10-04,10010,Carbon Monoxide,351.92,3.1,4,Good
2025-10-04,10010,Overall,,56.9,76,Moderate
2025-10-05,10010,PM2.5,18.86,66.4,70,Moderate
2025-10-05,10010,PM10,19.0,16.2,18,Good
2025-10-05,10010,Ozone,62.0,26.4,60,Moderate
2025-10-05,10010,Nitrogen Dioxide,54.68,27.0,43,Good
2025-10-05,10010,Sulphur Dioxide,13.49,7.3,10,Good
2025-10-05,10010,Carbon Monoxide,445.46,4.6,6,Good
2025-10-05,10010,Overall,,66.4,70,Moderate
2025-10-06,10010,PM2.5,13.07,63.8,69,Moderate
2025-10-06,10010,PM10,13.18,14.9,17,Good
2025-10-06,10010,Ozone,72.71,33.8,59,Moderate
2025-10-06,10010,Nitrogen Dioxide,37.43,18.4,27,Good
2025-10-06,10010,Sulphur Dioxide,11.68,6.4,9,Good
2025-10-06,10010,Carbon Monoxide,278.79,2.8,3,Good
2025-10-06,10010,Overall,,63.8,69,Moderate
2025-10-07,10010,PM2.5,8.14,52.9,58,Moderate
2025-10-07,10010,PM10,8.68,9.8,12,Good
2025-10-07,10010,Ozone,68.58,33.3,42,Good
2025-10-07,10010,Nitrogen Dioxide,23.05,11.4,19,Good
2025-10-07,10010,Sulphur Dioxide,7.0,3.8,6,Good
2025-10-07,10010,Carbon Monoxide,198.04,2.0,2,Good
2025-10-07,10010,Overall,,52.9,58,Moderate
2025-10-08,10010,PM2.5,4.52,30.5,45,Good
2025-10-08,10010,PM10,4.72,5.5,8,Good
2025-10-08,10010,Ozone,58.54,28.0,33,Good
2025-10-08,10010,Nitrogen Dioxide,16.25,8.0,17,Good
2025-10-08,10010,Sulphur Dioxide,3.5,1.9,3,Good
2025-10-08,10010,Carbon Monoxide,181.58,1.8,2,Good
2025-10-08,10010,Overall,,33.2,45,Good
2025-10-09,10010,PM2.5,6.82,32.2,37,Good
2025-10-09,10010,PM10,6.95,5.2,6,Good
2025-10-09,10010,Ozone,52.42,25.9,34,Good
2025-10-09,10010,Nitrogen Dioxide,17.26,8.4,25,Good
2025-10-09,10010,Sulphur Dioxide,3.16,1.7,3,Good
2025-10-09,10010,Carbon Monoxide,191.67,2.0,2,Good
2025-10-09,10010,Overall,,32.3,37,Good
2025-10-10,10010,PM2.5,8.3,43.5,48,Good
2025-10-10,10010,PM10,9.24,7.5,9,Good
2025-10-10,10010,Ozone,45.62,20.0,33,Good
2025-10-10,10010,Nitrogen Dioxide,26.2,12.8,21,Good
2025-10-10,10010,Sulphur Dioxide,4.76,2.7,4,Good
2025-10-10,10010,Carbon Monoxide,216.75,2.1,3,Good
2025-10-10,10010,Overall,,43.5,48,Good
2025-10-11,10010,PM2.5,13.18,53.7,58,Moderate
2025-10-11,10010,PM10,15.51,11.6,14,Good
2025-10-11,10010,Ozone,37.33,16.4,29,Good
2025-10-11,10010,Nitrogen Dioxide,34.42,17.0,28,Good
2025-10-11,10010,Sulphur Dioxide,5.96,3.2,6,Good
2025-10-11,10010,Carbon Monoxide,263.04,2.5,3,Good
2025-10-11,10010,Overall,,53.7,58,Moderate
2025-10-12,10010,PM2.5,5.12,45.5,58,Moderate
2025-10-12,10010,PM10,5.68,9.7,14,Good
2025-10-12,10010,Ozone,59.96,27.2,30,Good
2025-10-12,10010,Nitrogen Dioxide,16.04,7.9,11,Good
2025-10-12,10010,Sulphur Dioxide,3.97,2.2,3,Good
2025-10-12,10010,Carbon Monoxide,175.96,2.0,2,Good
2025-10-12,10010,Overall,,45.5,58,Moderate
2025-10-13,10010,PM2.5,2.48,19.3,28,Good
2025-10-13,10010,PM10,2.55,3.3,5,Good
2025-10-13,10010,Ozone,63.5,30.5,36,Good
2025-10-13,10010,Nitrogen Dioxide,13.94,6.8,10,Good
2025-10-13,10010,Sulphur Dioxide,2.87,1.6,2,Good
2025-10-13,10010,Carbon Monoxide,189.38,2.0,2,Good
2025-10-13,10010,Overall,,30.5,36,Good
2025-10-14,10010,PM2.5,4.05,16.2,22,Good
2025-10-14,10010,PM10,4.28,2.7,4,Good
2025-10-14,10010,Ozone,50.79,24.8,27,Good
2025-10-14,10010,Nitrogen Dioxide,16.83,8.2,13,Good
2025-10-14,10010,Sulphur Dioxide,3.58,2.0,2,Good
2025-10-14,10010,Carbon Monoxide,207.12,2.0,2,Good
2025-10-14,10010,Overall,,24.9,27,Good
2025-10-15,10010,PM2.5,8.9,38.9,51,Moderate
2025-10-15,10010,PM10,9.0,6.6,9,Good
2025-10-15,10010,Ozone,49.92,22.8,30,Good
2025-10-15,10010,Nitrogen Dioxide,18.34,9.0,16,Good
2025-10-15,10010,Sulphur Dioxide,3.98,2.1,4,Good
2025-10-15,10010,Carbon Monoxide,240.67,2.2,3,Good
2025-10-15,10010,Overall,,38.9,51,Moderate
2025-10-16,10010,PM2.5,3.11,33.1,49,Good
2025-10-16,10010,PM10,3.15,5.5,8,Good
2025-10-16,10010,Ozone,58.58,25.4,33,Good
2025-10-16,10010,Nitrogen Dioxide,10.86,5.3,8,Good
2025-10-16,10010,Sulphur Dioxide,2.32,1.2,2,Good
2025-10-16,10010,Carbon Monoxide,196.25,2.0,2,Good
2025-10-16,10010,Overall,,37.1,49,Good
2025-10-17,10010,PM2.5,5.52,17.0,28,Good
2025-10-17,10010,PM10,5.59,2.9,5,Good
2025-10-17,10010,Ozone,45.92,25.4,31,Good
2025-10-17,10010,Nitrogen Dioxide,22.2,11.0,34,Good
2025-10-17,10010,Sulphur Dioxide,3.29,1.7,3,Good
2025-10-17,10010,Carbon Monoxide,333.67,2.4,5,Good
2025-10-17,10010,Overall,,27.0,34,Good
2025-10-18,10010,PM2.5,12.42,47.2,57,Moderate
2025-10-18,10010,PM10,12.57,8.4,11,Good
2025-10-18,10010,Ozone,28.62,13.5,24,Good
2025-10-18,10010,Nitrogen Dioxide,41.55,20.5,37,Good
2025-10-18,10010,Sulphur Dioxide,8.37,4.5,7,Good
2025-10-18,10010,Carbon Monoxide,316.42,3.7,6,Good
2025-10-18,10010,Overall,,47.2,57,Moderate
2025-10-19,10010,PM2.5,9.8,56.8,58,Moderate
2025-10-19,10010,PM10,11.16,12.1,13,Good
2025-10-19,10010,Ozone,66.29,23.1,48,Good
2025-10-19,10010,Nitrogen Dioxide,29.04,14.2,33,Good
2025-10-19,10010,Sulphur Dioxide,6.74,3.8,7,Good
2025-10-19,10010,Carbon Monoxide,220.42,2.5,3,Good
2025-10-19,10010,Overall,,56.8,58,Moderate
2025-10-20,10010,PM2.5,4.79,35.0,52,Moderate
2025-10-20,10010,PM10,5.24,6.8,10,Good
2025-10-20,10010,Ozone,67.62,35.4,47,Good
2025-10-20,10010,Nitrogen Dioxide,13.28,6.5,12,Good
2025-10-20,10010,Sulphur Dioxide,3.79,2.0,4,Good
2025-10-20,10010,Carbon Monoxide,164.88,1.8,2,Good
2025-10-20,10010,Overall,,37.0,52,Moderate
2025-10-21,10010,PM2.5,8.23,38.1,46,Good
2025-10-21,10010,PM10,8.61,6.5,8,Good
2025-10-21,10010,Ozone,49.96,22.4,32,Good
2025-10-21,10010,Nitrogen Dioxide,23.93,11.8,24,Good
2025-10-21,10010,Sulphur Dioxide,7.85,4.4,7,Good
2025-10-21,10010,Carbon Monoxide,205.67,2.0,2,Good
2025-10-21,10010,Overall,,38.1,46,Good
2025-10-22,10010,PM2.5,13.26,53.5,57,Moderate
2025-10-22,10010,PM10,13.47,10.5,12,Good
2025-10-22,10010,Ozone,57.04,29.2,33,Good
2025-10-22,10010,Nitrogen Dioxide,25.82,12.6,25,Good
2025-10-22,10010,Sulphur Dioxide,7.03,3.8,5,Good
2025-10-22,10010,Carbon Monoxide,221.54,2.0,2,Good
2025-10-22,10010,Overall,,53.5,57,Moderate
2025-10-23,10010,PM2.5,9.12,54.5,59,Moderate
2025-10-23,10010,PM10,9.17,10.3,13,Good
2025-10-23,10010,Ozone,36.92,17.2,24,Good
2025-10-23,10010,Nitrogen Dioxide,20.84,10.3,21,Good
2025-10-23,10010,Sulphur Dioxide,7.54,4.1,5,Good
2025-10-23,10010,Carbon Monoxide,215.38,2.0,2,Good
2025-10-23,10010,Overall,,54.5,59,Moderate
2025-10-24,10010,PM2.5,8.31,44.4,50,Good
2025-10-24,10010,PM10,8.37,7.1,8,Good
2025-10-24,10010,Ozone,32.62,15.8,26,Good
2025-10-24,10010,Nitrogen Dioxide,23.3,11.5,23,Good
2025-10-24,10010,Sulphur Dioxide,6.29,3.5,5,Good
2025-10-24,10010,Carbon Monoxide,236.17,2.0,3,Good
2025-10-24,10010,Overall,,44.4,50,Good
2025-10-25,10010,PM2.5,9.8,47.0,51,Moderate
2025-10-25,10010,PM10,9.9,7.8,9,Good
2025-10-25,10010,Ozone,34.38,16.4,29,Good
2025-10-25,10010,Nitrogen Dioxide,27.57,13.5,30,Good
2025-10-25,10010,Sulphur Dioxide,3.96,2.1,3,Good
2025-10-25,10010,Carbon Monoxide,351.12,2.4,5,Good
2025-10-25,10010,Overall,,47.0,51,Moderate
2025-10-26,10010,PM2.5,16.05,60.6,64,Moderate
2025-10-26,10010,PM10,16.3,13.4,15,Good
2025-10-26,10010,Ozone,29.71,13.9,32,Good
2025-10-26,10010,Nitrogen Dioxide,40.53,20.0,37,Good
2025-10-26,10010,Sulphur Dioxide,5.27,2.8,4,Good
2025-10-26,10010,Carbon Monoxide,326.58,3.8,7,Good
2025-10-26,10010,Overall,,60.6,64,Moderate
2025-10-27,10010,PM2.5,7.43,54.0,63,Moderate
2025-10-27,10010,PM10,7.55,10.3,15,Good
2025-10-27,10010,Ozone,35.42,16.0,29,Good
2025-10-27,10010,Nitrogen Dioxide,31.31,15.4,30,Good
2025-10-27,10010,Sulphur Dioxide,4.74,2.8,4,Good
2025-10-27,10010,Carbon Monoxide,272.46,2.9,4,Good
2025-10-27,10010,Overall,,54.0,63,Moderate
2025-10-28,10010,PM2.5,6.42,39.3,41,Good
2025-10-28,10010,PM10,6.5,6.6,7,Good
2025-10-28,10010,Ozone,36.96,15.3,23,Good
2025-10-28,10010,Nitrogen Dioxide,20.18,10.0,21,Good
2025-10-28,10010,Sulphur Dioxide,3.66,2.0,3,Good
2025-10-28,10010,Carbon Monoxide,212.29,2.0,2,Good
2025-10-28,10010,Overall,,39.3,41,Good
2025-10-29,10010,PM2.5,5.55,28.9,36,Good
2025-10-29,10010,PM10,6.34,5.1,6,Good
2025-10-29,10010,Ozone,37.04,18.4,21,Good
2025-10-29,10010,Nitrogen Dioxide,21.16,10.5,19,Good
2025-10-29,10010,Sulphur Dioxide,4.18,2.4,3,Good
2025-10-29,10010,Carbon Monoxide,214.71,2.0,2,Good
2025-10-29,10010,Overall,,28.9,36,Good
2025-10-30,10010,PM2.5,4.6,29.5,32,Good
2025-10-30,10010,PM10,5.5,5.6,6,Good
2025-10-30,10010,Ozone,52.12,22.9,31,Good
2025-10-30,10010,Nitrogen Dioxide,18.38,9.0,16,Good
2025-10-30,10010,Sulphur Dioxide,2.72,1.4,2,Good
2025-10-30,10010,Carbon Monoxide,178.38,2.0,2,Good
2025-10-30,10010,Overall,,30.2,32,Good
2025-10-31,10010,PM2.5,5.83,30.2,33,Good
2025-10-31,10010,PM10,5.88,5.3,6,Good
2025-10-31,10010,Ozone,56.42,23.2,35,Good
2025-10-31,10010,Nitrogen Dioxide,13.08,6.5,13,Good
2025-10-31,10010,Sulphur Dioxide,6.27,3.4,8,Good
2025-10-31,10010,Carbon Monoxide,201.0,2.0,2,Good
2025-10-31,10010,Overall,,30.7,35,Good
2025-11-01,10010,PM2.5,6.52,24.8,32,Good
2025-11-01,10010,PM10,6.57,4.2,5,Good
2025-11-01,10010,Ozone,60.46,32.7,36,Good
2025-11-01,10010,Nitrogen Dioxide,17.69,8.7,27,Good
2025-11-01,10010,Sulphur Dioxide,2.68,1.4,3,Good
2025-11-01,10010,Carbon Monoxide,216.29,2.0,3,Good
2025-11-01,10010,Overall,,33.4,36,Good
2025-11-02,10010,PM2.5,15.1,55.4,63,Moderate
2025-11-02,10010,PM10,15.23,11.2,14,Good
2025-11-02,10010,Ozone,19.88,10.5,17,Good
2025-11-02,10010,Nitrogen Dioxide,40.48,20.0,34,Good
2025-11-02,10010,Sulphur Dioxide,8.41,4.5,7,Good
2025-11-02,10010,Carbon Monoxide,304.12,3.0,4,Good
2025-11-02,10010,Overall,,55.4,63,Moderate
2025-11-03,10010,PM2.5,14.25,62.0,65,Moderate
2025-11-03,10010,PM10,15.35,14.5,16,Good
2025-11-03,10010,Ozone,33.5,11.7,27,Good
2025-11-03,10010,Nitrogen Dioxide,41.65,20.5,33,Good
2025-11-03,10010,Sulphur Dioxide,8.82,4.8,7,Good
2025-11-03,10010,Carbon Monoxide,306.08,3.0,4,Good
2025-11-03,10010,Overall,,62.0,65,Moderate
2025-11-04,10010,PM2.5,4.17,40.3,60,Moderate
2025-11-04,10010,PM10,4.27,8.0,14,Good
2025-11-04,10010,Ozone,57.62,28.6,34,Good
2025-11-04,10010,Nitrogen Dioxide,18.1,8.8,27,Good
2025-11-04,10010,Sulphur Dioxide,3.6,2.0,3,Good
2025-11-04,10010,Carbon Monoxide,212.83,2.0,3,Good
2025-11-04,10010,Overall,,42.7,60,Moderate
2025-11-05,10010,PM2.5,8.8,39.1,51,Moderate
2025-11-05,10010,PM10,8.91,6.5,9,Good
2025-11-05,10010,Ozone,43.88,16.6,32,Good
2025-11-05,10010,Nitrogen Dioxide,30.45,15.0,24,Good
2025-11-05,10010,Sulphur Dioxide,9.47,5.0,8,Good
2025-11-05,10010,Carbon Monoxide,275.46,2.7,3,Good
2025-11-05,10010,Overall,,39.1,51,Moderate
2025-11-06,10010,PM2.5,3.41,30.3,49,Good
2025-11-06,10010,PM10,3.48,5.0,8,Good
2025-11-06,10010,Ozone,58.25,29.4,33,Good
2025-11-06,10010,Nitrogen Dioxide,12.64,6.2,15,Good
2025-11-06,10010,Sulphur Dioxide,3.03,1.7,4,Good
2025-11-06,10010,Carbon Monoxide,199.79,2.0,2,Good
2025-11-06,10010,Overall,,35.2,49,Good
2025-11-07,10010,PM2.5,13.28,49.7,60,Moderate
2025-11-07,10010,PM10,13.67,10.0,13,Good
2025-11-07,10010,Ozone,41.96,16.6,37,Good
2025-11-07,10010,Nitrogen Dioxide,33.7,16.6,29,Good
2025-11-07,10010,Sulphur Dioxide,6.7,3.7,6,Good
2025-11-07,10010,Carbon Monoxide,281.54,2.9,4,Good
2025-11-07,10010,Overall,,50.1,60,Moderate
2025-11-08,10010,PM2.5,14.55,48.4,58,Moderate
2025-11-08,10010,PM10,14.63,8.8,12,Good
2025-11-08,10010,Ozone,46.83,27.5,36,Good
2025-11-08,10010,Nitrogen Dioxide,30.72,15.2,32,Good
2025-11-08,10010,Sulphur Dioxide,6.49,3.5,5,Good
2025-11-08,10010,Carbon Monoxide,324.88,2.4,5,Good
2025-11-08,10010,Overall,,48.4,58,Moderate
2025-11-09,10010,PM2.5,18.21,69.1,73,Moderate
2025-11-09,10010,PM10,19.76,17.9,20,Good
2025-11-09,10010,Ozone,32.62,14.2,36,Good
2025-11-09,10010,Nitrogen Dioxide,51.36,25.3,41,Good
2025-11-09,10010,Sulphur Dioxide,7.03,3.8,6,Good
2025-11-09,10010,Carbon Monoxide,348.5,3.5,6,Good
2025-11-09,10010,Overall,,69.1,73,Moderate
2025-11-10,10010,PM2.5,13.11,65.6,68,Moderate
2025-11-10,10010,PM10,13.22,16.7,19,Good
2025-11-10,10010,Ozone,25.75,9.8,20,Good
2025-11-10,10010,Nitrogen Dioxide,42.5,21.0,41,Good
2025-11-10,10010,Sulphur Dioxide,7.51,4.1,7,Good
2025-11-10,10010,Carbon Monoxide,381.0,4.3,6,Good
2025-11-10,10010,Overall,,65.6,68,Moderate
2025-11-11,10010,PM2.5,3.31,34.0,58,Moderate
2025-11-11,10010,PM10,3.6,6.0,12,Good
2025-11-11,10010,Ozone,60.38,27.0,30,Good
2025-11-11,10010,Nitrogen Dioxide,10.41,5.1,7,Good
2025-11-11,10010,Sulphur Dioxide,3.0,1.5,2,Good
2025-11-11,10010,Carbon Monoxide,176.21,2.0,2,Good
2025-11-11,10010,Overall,,38.5,58,Moderate
2025-11-12,10010,PM2.5,10.54,33.6,52,Moderate
2025-11-12,10010,PM10,10.67,5.7,9,Good
2025-11-12,10010,Ozone,36.71,19.8,27,Good
2025-11-12,10010,Nitrogen Dioxide,25.56,12.6,23,Good
2025-11-12,10010,Sulphur Dioxide,9.22,5.0,6,Good
2025-11-12,10010,Carbon Monoxide,227.25,2.0,2,Good
2025-11-12,10010,Overall,,34.6,52,Moderate
2025-11-13,10010,PM2.5,6.62,50.9,55,Moderate
2025-11-13,10010,PM10,6.67,9.1,11,Good
2025-11-13,10010,Ozone,48.5,20.5,30,Good
2025-11-13,10010,Nitrogen Dioxide,17.32,8.5,14,Good
2025-11-13,10010,Sulphur Dioxide,4.12,2.3,5,Good
2025-11-13,10010,Carbon Monoxide,230.17,2.0,2,Good
2025-11-13,10010,Overall,,50.9,55,Moderate
2025-11-14,10010,PM2.5,6.56,29.4,37,Good
2025-11-14,10010,PM10,6.78,4.8,6,Good
2025-11-14,10010,Ozone,50.08,24.9,29,Good
2025-11-14,10010,Nitrogen Dioxide,22.42,11.0,28,Good
2025-11-14,10010,Sulphur Dioxide,3.99,2.1,4,Good
2025-11-14,10010,Carbon Monoxide,250.75,2.1,3,Good
2025-11-14,10010,Overall,,29.7,37,Good
2025-11-15,10010,PM2.5,11.09,49.1,55,Moderate
2025-11-15,10010,PM10,11.39,9.0,11,Good
2025-11-15,10010,Ozone,31.54,14.9,22,Good
2025-11-15,10010,Nitrogen Dioxide,37.56,18.6,33,Good
2025-11-15,10010,Sulphur Dioxide,7.4,4.0,7,Good
2025-11-15,10010,Carbon Monoxide,304.38,3.1,4,Good
2025-11-15,10010,Overall,,49.1,55,Moderate
2025-11-16,10010,PM2.5,5.51,48.9,55,Moderate
2025-11-16,10010,PM10,5.59,8.7,11,Good
2025-11-16,10010,Ozone,57.92,23.8,33,Good
2025-11-16,10010,Nitrogen Dioxide,14.1,7.0,17,Good
2025-11-16,10010,Sulphur Dioxide,4.07,2.0,4,Good
2025-11-16,10010,Carbon Monoxide,207.17,2.2,3,Good
2025-11-16,10010,Overall,,48.9,55,Moderate
2025-11-17,10010,PM2.5,4.6,20.7,31,Good
2025-11-17,10010,PM10,4.73,3.5,5,Good
2025-11-17,10010,Ozone,57.75,27.6,29,Good
2025-11-17,10010,Nitrogen Dioxide,10.31,5.0,10,Good
2025-11-17,10010,Sulphur Dioxide,2.18,1.1,2,Good
2025-11-17,10010,Carbon Monoxide,196.58,2.0,2,Good
2025-11-17,10010,Overall,,27.7,31,Good
2025-11-18,10010,PM2.5,5.56,24.2,28,Good
2025-11-18,10010,PM10,5.58,4.0,5,Good
2025-11-18,10010,Ozone,40.04,21.7,25,Good
2025-11-18,10010,Nitrogen Dioxide,22.54,11.0,27,Good
2025-11-18,10010,Sulphur Dioxide,4.33,2.3,5,Good
2025-11-18,10010,Carbon Monoxide,251.25,2.1,3,Good
2025-11-18,10010,Overall,,24.8,28,Good
2025-11-19,10010,PM2.5,22.32,54.8,74,Moderate
2025-11-19,10010,PM10,22.44,11.5,20,Good
2025-11-19,10010,Ozone,12.92,6.8,12,Good
2025-11-19,10010,Nitrogen Dioxide,48.77,24.0,32,Good
2025-11-19,10010,Sulphur Dioxide,12.37,6.7,8,Good
2025-11-19,10010,Carbon Monoxide,486.38,3.8,7,Good
2025-11-19,10010,Overall,,54.8,74,Moderate
2025-11-20,10010,PM2.5,22.39,76.1,79,Moderate
2025-11-20,10010,PM10,22.63,21.0,22,Good
2025-11-20,10010,Ozone,11.29,5.4,13,Good
2025-11-20,10010,Nitrogen Dioxide,52.89,26.1,33,Good
2025-11-20,10010,Sulphur Dioxide,12.78,7.0,13,Good
2025-11-20,10010,Carbon Monoxide,525.5,5.0,8,Good
2025-11-20,10010,Overall,,76.1,79,Moderate
2025-11-21,10010,PM2.5,26.45,83.2,88,Moderate
2025-11-21,10010,PM10,26.75,24.5,27,Good
2025-11-21,10010,Ozone,9.62,4.3,12,Good
2025-11-21,10010,Nitrogen Dioxide,51.38,25.3,32,Good
2025-11-21,10010,Sulphur Dioxide,16.05,8.8,13,Good
2025-11-21,10010,Carbon Monoxide,582.58,6.3,10,Good
2025-11-21,10010,Overall,,83.2,88,Moderate
2025-11-22,10010,PM2.5,17.23,79.0,86,Moderate
2025-11-22,10010,PM10,17.28,22.2,25,Good
2025-11-22,10010,Ozone,17.21,5.5,17,Good
2025-11-22,10010,Nitrogen Dioxide,36.5,18.0,23,Good
2025-11-22,10010,Sulphur Dioxide,9.15,5.0,9,Good
2025-11-22,10010,Carbon Monoxide,397.71,4.3,5,Good
2025-11-22,10010,Overall,,79.0,86,Moderate
2025-11-23,10010,PM2.5,17.82,60.0,66,Moderate
2025-11-23,10010,PM10,17.96,13.1,16,Good
2025-11-23,10010,Ozone,13.21,7.4,15,Good
2025-11-23,10010,Nitrogen Dioxide,49.19,24.2,28,Good
2025-11-23,10010,Sulphur Dioxide,9.53,5.2,8,Good
2025-11-23,10010,Carbon Monoxide,388.96,3.7,5,Good
2025-11-23,10010,Overall,,60.0,66,Moderate
2025-11-24,10010,PM2.5,14.46,58.8,67,Moderate
2025-11-24,10010,PM10,14.55,12.4,16,Good
2025-11-24,10010,Ozone,31.79,15.4,23,Good
2025-11-24,10010,Nitrogen Dioxide,25.14,12.4,27,Good
2025-11-24,10010,Sulphur Dioxide,5.53,3.0,9,Good
2025-11-24,10010,Carbon Monoxide,404.12,2.9,6,Good
2025-11-24,10010,Overall,,58.8,67,Moderate
2025-11-25,10010,PM2.5,16.3,71.1,77,Moderate
2025-11-25,10010,PM10,17.35,18.9,22,Good
2025-11-25,10010,Ozone,13.67,4.2,9,Good
2025-11-25,10010,Nitrogen Dioxide,48.65,24.0,31,Good
2025-11-25,10010,Sulphur Dioxide,8.55,4.7,8,Good
2025-11-25,10010,Carbon Monoxide,385.5,5.0,9,Good
2025-11-25,10010,Overall,,71.1,77,Moderate
2025-11-26,10010,PM2.5,14.67,56.0,64,Moderate
2025-11-26,10010,PM10,14.88,11.9,16,Good
2025-11-26,10010,Ozone,33.08,16.6,28,Good
